run_number	current	charge	trigger_id	livetime	trigger_counts	trigger_events	elist	Kinematic
1519	22.38	15283.8	DL.bit2	1	1068	1068	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1519_0_5.root	11
1520	22.38	25355.4	DL.bit2	0.998995	3982	3978	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1520_0_5.root	11
1521	8.88	8327.23	DL.bit2	0.999017	6104	6098	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1521_0_5.root	11_pos
1522	4.38	71.4156	DL.bit2	1	12	12	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1522_0_5.root	11
1523	21.88	7692.91	DL.bit2	0.998779	819	818	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1523_0_5.root	11
1524	21.88	2917.4	DL.bit2	0	465	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1524_0_5.root	11
1525	21.88	35695	DL.bit2	0.998062	11870	11847	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1525_0_5.root	11
1526	21.88	34024.6	DL.bit2	0.998578	11248	11232	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1526_0_5.root	11
1527	21.88	2481.52	DL.bit2	1	451	451	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1527_0_5.root	11
1527	12.12	404.778	DL.bit2	1	67	67	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1527_1_5.root	11
1527	4.88	452.358	DL.bit2	1	132	132	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1527_2_5.root	11
1528	22.12	27543	DL.bit2	0.998315	4749	4741	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1528_0_5.root	11
1529	22.12	36791.5	DL.bit2	0.998443	6424	6414	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1529_0_5.root	11
1535	22.12	10440.2	DL.bit2	0.998236	3402	3396	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1535_0_5.root	11
1537	22.12	3756.81	DL.bit2	1	1251	1251	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1537_0_5.root	11
1538	22.12	5780.89	DL.bit2	0.998477	1970	1967	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1538_0_5.root	11
